LeNet5,AlexNet,VGG,ResNet18,SENet18,GoogleNet
0.5395460569146854,0.6521746147352495,1.3334234079508893,0.43105580664075005,0.40804175981707663,0.6461347777769764
0.35050628525711325,0.4299683584841584,0.5549295152873118,0.31056715382028743,0.29674818032363587,0.37549533351842784
0.30917719621330436,0.3843144903988091,0.4124803870185606,0.27030488282346776,0.2584663151638277,0.3463525925633877
0.28376259971688045,0.3578805093333792,0.3571890420369756,0.24526298629926213,0.23572613713520169,0.3410800151717561
0.262238697186589,0.34750108267547986,0.3219192004851949,0.2298780230443869,0.2142477868748372,0.33848146160147086
0.24528121983191606,0.3168928954186343,0.3244853664054545,0.2118003951754969,0.19343550654569033,0.3358364682088592
0.23179349899371424,0.30867190257922167,0.2730228593632547,0.1985634361217017,0.17809938757952407,0.35972905354792756
0.22004630516714124,0.29066215700178005,0.278428131114763,0.1833436963106714,0.16459617422405146,0.32796118903293536
0.2059274308566155,0.28398249086254695,0.262743682991753,0.16925321896868284,0.14914389660379399,18169062271.14329
0.19561574552883346,0.26830923397626194,0.25680228353325113,0.15329490745785648,0.13282822823521298,2.3033676513476666
