Accuracy,Precision,Recall,F1-score,Dataset,Model name
98.94,0.9915349965349964,0.9914038078999715,0.9913523205238125,MNIST,LeNet5
98.22,0.988165687606114,0.9881023847881878,0.9880966195161678,MNIST,AlexNet
98.35,0.98899999999999999,0.98,0.981268990169794458,MNIST,VGG
99.43,0.9950461422153953,0.994664677465189,0.994841633185555,MNIST,ResNet18
99.19,0.9872148541114059,0.9867320261437909,0.9869532397490448,MNIST,SENet18
9.80,0.010199999999999999,0.01,0.01851179673321234,MNIST,GoogleNet
