LeNet5,AlexNet,VGG,ResNet18,SENet18,GoogleNet
0.20367635913076065,0.3693404104520898,0.8652302746766253,0.1329717139548648,0.11692208274037265,0.38527537891388075
0.06095784100076394,0.1263177659954436,0.15032527693532416,0.06046261954002642,0.05301554280165424,0.09562435902236625
0.04460575495111093,0.10499899821705258,0.1337813812511306,0.04641567470892064,0.040720624379257164,13.788370453898716
0.03616504793202798,0.09201732306903421,0.08396291064852074,0.03930089925155183,0.03500971698754731,2.301338139627534
0.02950802537932697,0.07531835936369928,0.07739291896824284,0.03558919759521418,0.03238347192555961,2.301317968348196
0.023908954450448203,0.05852795252280545,0.07918990325516036,0.030110886019427078,0.02637504873877845,2.301283900163321
0.022016081929319694,0.07259622178184909,0.0743378000035304,0.028486422162339427,0.023933005010654432,2.3013063036302515
0.018718169104689496,0.0682212965296345,0.06072469540395587,0.023013123916201434,0.021180395031839532,2.301279628454749
0.015616338091832948,0.05751902782669552,0.05779436123409116,0.024288003924856288,0.019107256380667754,2.3013189121095863
0.014426518293267498,0.04593538443928347,0.048877080115823826,0.020574765181500785,0.01577307304640791,2.3012987891239907
